date,star,star_low,star_high,star_text,status,method,evidence,source_file
2022-03-01,4.0,,,还是在4星级,exact,body_current_exact,今天上午大盘整体低迷，到下午反弹。整体微涨，波动不大，还是在4星级。,[2022-03-01-2136]3月1日指数估值数据螺丝钉定投实盘第208期投顾组合发车.md
2022-03-02,4.0,,,还是在4星级,exact,body_current_exact,今天大盘整体下跌，还是在4星级。,[2022-03-02-2157]3月2日指数估值数据想要的功能啥时候能实现.md
2022-03-03,4.0,,,还是在4星级,exact,body_current_exact,今天大盘整体微跌，波动不大，还是在4星级。,[2022-03-03-2159]3月3日指数估值数据价值风格强势.md
2022-03-04,4.0,,,4星级,exact,table_image_exact,当天第1858期估值表原图顶部螺丝钉星级明确显示4颗星。,[2022-03-04-2155]3月4日指数估值数据距离45星级还有1.md
2022-03-07,4.5,,,再次回到了4.5星级,exact,body_current_exact,今天大盘整体波动比较大。时隔两年，再次回到了4.5星级。,[2022-03-07-2152]3月7日指数估值数据45星级.md
2022-03-08,4.5,,,仍然是在4.5星级,exact,body_current_exact,今天大盘整体继续波动，仍然是在4.5星级。,[2022-03-08-2156]3月8日指数估值数据螺丝钉定投实盘第209期投顾组合发车.md
2022-03-09,4.5,,,此时4.5星级,exact,body_current_exact,今天市场走出深V并收盘微跌；正文当前语境明确：此时4.5星级，市场上大部分品种也低估了。,[2022-03-09-2150]3月9日指数估值数据什么时候适合做资产配置.md
2022-03-10,4.5,,,目前还是在4.5星级的位置,exact,body_current_exact,今天迎来普涨行情，中证全指反弹1.8%。不过因为前几天下跌比较多，反弹后，目前还是在4.5星级的位置。,[2022-03-10-2148]3月10日指数估值数据什么情况下基金会清盘呢.md
2022-03-11,4.5,,,今天还是在4.5星级,exact,body_current_exact,今天还是在4.5星级。,[2022-03-11-2156]3月11日指数估值数据如果单个品种仓位比较重该如何投资.md
2022-03-14,4.5,,,还是在4.5星级,exact,body_current_exact,今天大盘整体下跌，还是在4.5星级。目前距离5星级，大约还有4%-5%的距离了。,[2022-03-14-2205]3月14日指数估值数据短期剧烈波动到5星级了吗.md
2022-03-15,4.5,,,截止到今天收盘还是在4.5星级,exact,body_current_exact,今天大盘出现剧烈波动，截止到今天收盘，还是在4.5星级。不过距离5星级已经很接近了。,[2022-03-15-2157]3月15日指数估值数据螺丝钉定投实盘第210期投顾组合发车.md
2022-03-16,4.5,,,目前还是在4.5星级,exact,body_current_exact,上午最低点盘中已回到5星级，但下午市场大幅反弹；正文明确：今天从5星级反弹之后，目前还是在4.5星级的。,[2022-03-16-2150]3月16日指数估值数据摸了一下5星级.md
2022-03-17,4.5,,,上涨后还是在4.5星级,exact,body_current_exact,今天大盘整体上涨，因为前段时间跌的太狠，今天上涨后还是在4.5星级。,[2022-03-17-2149]3月17日指数估值数据他强任他强清风拂山岗.md
2022-03-18,4.5,,,还是在4.5星级,exact,body_current_exact,今天上午大盘微跌，下午反弹。整体微涨，还是在4.5星级。,[2022-03-18-2138]3月18日指数估值数据基金公司自购是熊市底部的信号吗.md
2022-03-21,4.5,,,还是在4.5星级,exact,body_current_exact,上午大盘整体微涨，波动不大，还是在4.5星级。,[2022-03-21-2140]3月21日指数估值数据场内折价溢价如何判断呢.md
2022-03-22,4.5,,,还是在4.5星级,exact,body_current_exact,今天大盘整体波动不大，还是在4.5星级。,[2022-03-22-2155]3月22日指数估值数据螺丝钉定投实盘第211期投顾组合发车.md
2022-03-23,4.5,,,还是在4.5星级,exact,body_current_exact,今天大盘整体波动不大，还是在4.5星级。,[2022-03-23-2211]3月23日指数估值数据投资低估品种也要有足够的耐心.md
2022-03-24,4.5,,,还是在4.5星级的位置,exact,body_current_exact,今天大盘整体下跌，还是在4.5星级的位置。,[2022-03-24-2138]3月24日指数估值数据基金年报该看啥呢.md
2022-03-25,4.5,,,还是在4.5星级,exact,body_current_exact,今天大盘整体下跌，还是在4.5星级。不过到5星级还有距离。,[2022-03-25-2157]3月25日指数估值数据市场震荡距离5星还有多远呢.md
2022-03-28,4.5,,,还是在4.5星级,exact,body_current_exact,今天中证全指整体微跌，波动不大，还是在4.5星级。,[2022-03-28-2144]3月28日指数估值数据红利指数规则调整有什么影响呢.md
2022-03-29,4.5,,,还是在4.5星级,exact,body_current_exact,今天大盘整体微跌，还是在4.5星级。,[2022-03-29-2147]3月29日指数估值数据螺丝钉定投实盘第212期投顾组合发车.md
2022-03-30,4.5,,,目前还是在4.5星级,exact,body_current_exact,今天大盘整体反弹，不过因为前几天一直在阴跌，目前还是在4.5星级。,[2022-03-30-2210]3月30日指数估值数据45星级会持续多久呢.md
2022-03-31,4.5,,,还是在4.5星级,exact,body_current_exact,今天大盘整体下跌，还是在4.5星级。,[2022-03-31-2207]3月31日指数估值数据价值风格表现不错.md
